# country: Comoros
# title: New COVID-19 tests (smoothed)
# description: Daily new COVID-19 tests per 1,000 people, 7-day rolling average.
# unit: tests
date,value
2022-03-14,1.59
2022-03-15,1.59
2022-03-16,1.59
2022-03-17,1.59
2022-03-18,1.59
2022-03-19,1.59
2022-03-20,1.59
2022-03-21,1.59
2022-03-22,1.59
2022-03-23,1.59
2022-03-24,1.59
2022-03-25,1.59
2022-03-26,1.59
2022-03-27,1.59
2022-03-28,1.59
2022-03-29,1.59
2022-03-30,1.59
2022-03-31,1.59
2022-04-01,1.59
2022-04-02,1.59
2022-04-03,1.59
2022-04-04,1.59
2022-04-05,1.59
2022-04-06,1.59
2022-04-07,1.59
2022-04-08,1.59
2022-04-09,1.59
2022-04-10,1.59
2022-04-11,1.59
2022-04-12,1.59
2022-04-13,1.59
2022-04-14,1.59
2022-04-15,1.59
2022-04-16,1.59
2022-04-17,1.59
2022-04-18,1.59
2022-04-19,1.59
2022-04-20,1.59
2022-04-21,1.59
2022-04-22,1.59
2022-04-23,1.59
2022-04-24,1.59
2022-04-25,1.59
2022-04-26,1.59
2022-04-27,1.59
2022-04-28,1.59
2022-04-29,1.59
2022-04-30,1.59
2022-05-01,1.59
2022-05-02,1.59
2022-05-03,1.59
2022-05-04,1.59
2022-05-05,1.59
2022-05-06,1.59
2022-05-07,1.59
2022-05-08,1.59
2022-05-09,1.59
2022-05-10,1.59
2022-05-11,1.59
2022-05-12,1.59
2022-05-13,1.59
2022-05-14,1.59
2022-05-15,1.59
2022-05-16,1.59
2022-05-17,1.59
2022-05-18,1.59
